batch,epoch,train_accuracy,train_loss
358.0,3.0,0.5625,1.6597035
359.0,3.0,0.75,0.968113
360.0,3.0,0.78125,1.0862896
361.0,3.0,0.75,1.0696843
362.0,3.0,0.59375,1.4647534
363.0,3.0,0.78125,0.98520815
364.0,3.0,0.65625,1.6007812
365.0,3.0,0.625,1.7425501
366.0,3.0,0.75,1.184193
367.0,3.0,0.84375,0.95227295
368.0,3.0,0.71875,1.2911357
369.0,3.0,0.71875,1.3223257
370.0,3.0,0.5,1.6639583
371.0,3.0,0.65625,1.1117827
372.0,3.0,0.8125,0.7047708
373.0,3.0,0.78125,1.1574668
374.0,3.0,0.75,1.2665035
375.0,3.0,0.78125,1.0213538
376.0,3.0,0.90625,0.7980713
377.0,3.0,0.84375,0.88910353
378.0,3.0,0.8125,0.9475943
379.0,3.0,0.8125,0.87060165
380.0,3.0,0.6875,1.2478731
381.0,3.0,0.71875,0.91706496
382.0,3.0,0.78125,1.0628458
383.0,3.0,0.90625,0.87167156
384.0,3.0,0.59375,1.431916
385.0,3.0,0.6875,1.2721276
386.0,3.0,0.78125,1.2986845
387.0,3.0,0.84375,1.0000453
388.0,3.0,0.53125,1.7902114
389.0,3.0,0.6875,1.38632
390.0,3.0,0.8125,0.68203586
391.0,3.0,0.71875,1.1705389
392.0,3.0,0.78125,0.99357074
393.0,3.0,0.8125,0.78903246
394.0,3.0,0.75,0.9927432
395.0,3.0,0.84375,0.9457712
396.0,3.0,0.8125,1.0950949
397.0,3.0,0.75,0.88592565
398.0,3.0,0.71875,1.154818
399.0,3.0,0.5625,1.5190573
400.0,3.0,0.78125,0.9408953
401.0,3.0,0.78125,0.96417475
402.0,3.0,0.84375,0.94665325
403.0,3.0,0.875,0.736126
404.0,3.0,0.8125,0.8854835
405.0,3.0,0.8125,1.0276226
406.0,3.0,0.625,1.3456047
407.0,3.0,0.75,1.2064238
408.0,3.0,0.4166666666666667,1.6201391
409.0,4.0,0.875,0.8245055
410.0,4.0,0.84375,0.94689846
411.0,4.0,0.71875,1.1611255
412.0,4.0,0.84375,0.9776516
413.0,4.0,0.84375,0.86695427
414.0,4.0,0.8125,1.0550168
415.0,4.0,0.71875,1.123293
416.0,4.0,0.75,1.015444
417.0,4.0,0.875,1.0671198
418.0,4.0,0.84375,0.9440891
419.0,4.0,0.875,0.81029814
420.0,4.0,0.6875,1.2541596
421.0,4.0,0.84375,0.80619895
422.0,4.0,0.75,0.95785683
423.0,4.0,0.75,0.9846423
424.0,4.0,0.71875,1.1683903
425.0,4.0,0.8125,0.89337367
426.0,4.0,0.625,1.3963655
427.0,4.0,0.65625,1.16864
428.0,4.0,0.75,1.0860381
429.0,4.0,0.8125,1.091851
430.0,4.0,0.875,0.74709743
431.0,4.0,0.75,1.1592399
432.0,4.0,0.875,0.8117255
433.0,4.0,0.84375,0.6210376
434.0,4.0,0.625,1.4181149
435.0,4.0,0.84375,0.88351667
436.0,4.0,0.90625,0.6162876
437.0,4.0,0.78125,0.9558075
438.0,4.0,0.75,1.1282381
439.0,4.0,0.6875,1.2417402
440.0,4.0,0.8125,0.9157912
441.0,4.0,0.8125,0.74417114
442.0,4.0,0.6875,1.1670415
443.0,4.0,0.75,0.953332
444.0,4.0,0.78125,0.9156885
445.0,4.0,0.75,1.1522354
446.0,4.0,0.8125,0.88466704
447.0,4.0,0.6875,1.2781925
448.0,4.0,0.78125,0.69345653
449.0,4.0,0.71875,1.2252281
450.0,4.0,0.75,1.0347508
451.0,4.0,0.71875,1.0572547
452.0,4.0,0.84375,0.9391783
453.0,4.0,0.90625,0.6395235
454.0,4.0,0.75,1.0528818
455.0,4.0,0.78125,0.99679536
456.0,4.0,0.8125,1.07391
457.0,4.0,0.84375,0.71397626
458.0,4.0,0.78125,0.9574168
459.0,4.0,0.78125,0.96098304
460.0,4.0,0.6875,1.04997
461.0,4.0,0.78125,1.0219743
462.0,4.0,0.71875,1.1422684
463.0,4.0,0.75,0.9652136
464.0,4.0,0.8125,0.9716928
465.0,4.0,0.78125,0.8557174
466.0,4.0,0.78125,0.7094242
467.0,4.0,0.8125,0.86862034
468.0,4.0,0.8125,0.87392646
469.0,4.0,0.78125,1.0773373
470.0,4.0,0.6875,1.5762689
471.0,4.0,0.9375,0.67360973
472.0,4.0,0.78125,1.008592
473.0,4.0,0.90625,0.75588804
474.0,4.0,0.78125,0.8988974
475.0,4.0,0.71875,1.2066771
476.0,4.0,0.65625,1.3108808
477.0,4.0,0.75,0.842022
478.0,4.0,0.75,1.0449346
479.0,4.0,0.78125,0.9846284
480.0,4.0,0.75,0.9357044
481.0,4.0,0.8125,0.7114357
482.0,4.0,0.65625,0.99815124
483.0,4.0,0.8125,0.8673989
484.0,4.0,0.71875,1.1512398
485.0,4.0,0.8125,0.752056
486.0,4.0,0.75,0.9608481
487.0,4.0,0.8125,0.91073877
488.0,4.0,0.84375,0.6570408
489.0,4.0,0.78125,0.8192222
490.0,4.0,0.75,1.0987705
491.0,4.0,0.71875,1.0602413
492.0,4.0,0.8125,0.79981416
493.0,4.0,0.875,0.8327397
494.0,4.0,0.75,1.1166685
495.0,4.0,0.75,1.002725
496.0,4.0,0.6875,1.0771072
497.0,4.0,0.875,0.6879845
498.0,4.0,0.75,0.93890584
499.0,4.0,0.75,0.91569984
500.0,4.0,0.78125,1.1028786
501.0,4.0,0.71875,1.11478
502.0,4.0,0.65625,1.2464983
503.0,4.0,0.84375,0.7329537
504.0,4.0,0.84375,0.8958135
505.0,4.0,0.71875,1.2459532
506.0,4.0,0.78125,1.1670946
507.0,4.0,0.8125,0.6698272
508.0,4.0,0.84375,0.7536607
509.0,4.0,0.84375,0.82798517
510.0,4.0,0.8125,0.65910333
511.0,4.0,0.71875,0.9771342
512.0,4.0,0.78125,0.9065209
513.0,4.0,0.65625,1.0611786
514.0,4.0,0.8125,0.90839654
515.0,4.0,0.8125,0.8442025
516.0,4.0,0.8125,0.8556521
517.0,4.0,0.71875,1.0870967
518.0,4.0,0.71875,0.9957598
519.0,4.0,0.75,1.1557531
520.0,4.0,0.78125,0.80611736
521.0,4.0,0.65625,1.3038995
522.0,4.0,0.8125,1.142007
523.0,4.0,0.75,1.0293005
524.0,4.0,0.71875,1.1461968
525.0,4.0,0.84375,0.77035785
526.0,4.0,0.75,1.0875348
527.0,4.0,0.75,0.96449494
528.0,4.0,0.8125,0.99585396
529.0,4.0,0.84375,0.7988698
530.0,4.0,0.78125,1.030972
531.0,4.0,0.8125,1.0310624
532.0,4.0,0.6875,1.0247226
533.0,4.0,0.75,1.203762
534.0,4.0,0.8125,1.0577682
535.0,4.0,0.875,0.82239026
536.0,4.0,0.8125,0.8515018
537.0,4.0,0.8125,0.9022725
538.0,4.0,0.84375,0.6459214
539.0,4.0,0.8125,0.82307655
540.0,4.0,0.75,0.8783424
541.0,4.0,0.625,1.0649717
542.0,4.0,0.75,0.97147745
543.0,4.0,0.75,0.9193059
544.0,4.0,0.75,1.323414
545.0,5.0,0.71875,1.145498
546.0,5.0,0.8125,0.8016071
547.0,5.0,0.78125,1.0286897
548.0,5.0,0.8125,0.8306659
549.0,5.0,0.84375,0.66180295
550.0,5.0,0.875,0.6456011
551.0,5.0,0.8125,0.9067783
552.0,5.0,0.53125,1.5276084
553.0,5.0,0.75,1.0598857
554.0,5.0,0.90625,0.6546039
555.0,5.0,0.71875,0.8379902
556.0,5.0,0.71875,1.0870466
557.0,5.0,0.78125,0.85475576
558.0,5.0,0.84375,0.5944387
559.0,5.0,0.875,0.7401025
560.0,5.0,0.75,1.1181302
561.0,5.0,0.84375,0.8803733
562.0,5.0,0.75,0.9949783
563.0,5.0,0.71875,0.9378194
564.0,5.0,0.8125,0.90801066
565.0,5.0,0.75,0.94046277
566.0,5.0,0.75,1.1813842
567.0,5.0,0.78125,0.950972
568.0,5.0,0.875,0.7079512
569.0,5.0,0.8125,1.0593777
570.0,5.0,0.6875,1.2498571
571.0,5.0,0.8125,0.8644102
572.0,5.0,0.71875,1.12022
573.0,5.0,0.84375,0.67465097
574.0,5.0,0.71875,1.1305807
575.0,5.0,0.71875,1.0747356
576.0,5.0,0.78125,0.7881613
577.0,5.0,0.8125,0.9134317
578.0,5.0,0.65625,1.1314439
579.0,5.0,0.84375,0.77392757
580.0,5.0,0.8125,0.75831485
581.0,5.0,0.90625,0.6774155
582.0,5.0,0.84375,0.6615598
583.0,5.0,0.875,0.7089139
584.0,5.0,0.75,0.8667458
585.0,5.0,0.71875,1.1561414
586.0,5.0,0.8125,0.916069
587.0,5.0,0.875,0.75955135
588.0,5.0,0.90625,0.56735075
589.0,5.0,0.78125,0.97482824
590.0,5.0,0.78125,0.78698355
591.0,5.0,0.75,1.0772777
592.0,5.0,0.8125,0.9297427
593.0,5.0,0.75,0.9031807
594.0,5.0,0.75,0.9326254
595.0,5.0,0.8125,0.7025864
596.0,5.0,0.75,0.91110814
597.0,5.0,0.75,0.97751683
598.0,5.0,0.65625,1.0992204
599.0,5.0,0.78125,1.1158509
600.0,5.0,0.75,1.0873317
601.0,5.0,0.78125,0.9384796
602.0,5.0,0.78125,0.9279731
603.0,5.0,0.8125,0.9958825
604.0,5.0,0.84375,0.60648066
605.0,5.0,0.84375,0.70467687
606.0,5.0,0.71875,1.0739024
607.0,5.0,0.84375,0.8188773
608.0,5.0,0.9375,0.4980631
609.0,5.0,0.84375,0.5705954
610.0,5.0,0.90625,0.492
611.0,5.0,0.84375,0.87269247
612.0,5.0,0.84375,0.81416833
613.0,5.0,0.6875,1.1395253
614.0,5.0,0.875,0.6564575
615.0,5.0,0.8125,0.8841494
616.0,5.0,0.8125,0.8207079
617.0,5.0,0.75,1.1791173
618.0,5.0,0.8125,0.637403
619.0,5.0,0.8125,0.76352346
620.0,5.0,0.8125,0.6894201
621.0,5.0,0.875,0.67368823
622.0,5.0,0.8125,0.7654568
623.0,5.0,0.8125,0.7751983
624.0,5.0,0.78125,1.0157778
625.0,5.0,0.78125,0.8113134
626.0,5.0,0.875,0.68522966
627.0,5.0,0.78125,0.94898474
628.0,5.0,0.9375,0.5850933
629.0,5.0,0.78125,0.72330785
630.0,5.0,0.84375,0.9613048
631.0,5.0,0.84375,0.68100643
632.0,5.0,0.8125,0.8753975
633.0,5.0,0.78125,0.8278305
634.0,5.0,0.8125,0.8368135
635.0,5.0,0.65625,1.2286056
636.0,5.0,0.8125,0.74894166
637.0,5.0,0.71875,1.0110865
638.0,5.0,0.875,0.54844356
639.0,5.0,0.8125,0.80683756
640.0,5.0,0.65625,1.1626551
641.0,5.0,0.84375,0.702887
642.0,5.0,0.8125,0.78975505
643.0,5.0,0.875,0.6740944
644.0,5.0,0.75,1.0300008
645.0,5.0,0.84375,0.69719267
646.0,5.0,0.78125,0.98198944
647.0,5.0,0.71875,1.06739
648.0,5.0,0.90625,0.6227747
649.0,5.0,0.8125,0.92330354
